# of hands        pairs      %    2 pairs      %    flushes      %  high card      %
10,000      4449      44.5310,000       481      4.8110,000      1305      13.0610,000      3765      37.69
20,000      8949      44.7720,000       984      4.9220,000      2586      12.9420,000      7481      37.42
30,000     13423      44.7630,000      1479      4.9330,000      3845      12.8230,000     11253      37.52
40,000     17838      44.6140,000      2014      5.0440,000      5133      12.8440,000     15015      37.55
50,000     22250      44.5150,000      2488      4.9850,000      6448      12.9050,000     18814      37.64
60,000     26714      44.5360,000      2977      4.9660,000      7716      12.8660,000     22593      37.66
70,000     31109      44.4570,000      3434      4.9170,000      9024      12.8970,000     26433      37.77
80,000     35537      44.4380,000      3898      4.8780,000     10272      12.8480,000     30293      37.87
90,000     39970      44.4290,000      4344      4.8390,000     11607      12.9090,000     34079      37.87
100,000     44384      44.39100,000      4846      4.85100,000     12854      12.86100,000     37916      37.92
